City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,nouadhibou,20.931,-17.0347,17.99,77,0,10.8,MR,1712636426
83,mendoza,-32.8908,-68.8272,20.74,64,0,1.54,AR,1712636290
84,nova vicosa,-17.8919,-39.3719,25.1,80,82,1.98,BR,1712636426
85,margaret river,-33.95,115.0667,22.47,41,7,2.71,AU,1712636329
86,kirgiz-miyaki,53.6324,54.7979,7.41,94,94,5.63,RU,1712636427
87,colonia,50.9333,6.95,16.65,76,100,3.6,DE,1712636343
88,greymouth,-42.4667,171.2,16.63,80,100,5.58,NZ,1712636427
89,howrah,22.5892,88.3103,31.0,48,40,3.09,IN,1712636428
90,ushuaia,-54.8,-68.3,1.81,75,0,1.54,AR,1712636428
91,thompson,55.7435,-97.8558,0.09,55,20,1.03,CA,1712636428
92,darwha,20.3167,77.7667,30.83,43,1,7.54,IN,1712636428
93,invercargill,-46.4,168.35,18.66,63,100,3.81,NZ,1712636429
94,rexburg,43.826,-111.7897,4.73,56,0,5.14,US,1712636429
95,magadan,59.5667,150.8,-3.04,87,96,1.59,RU,1712636429
96,crane,31.3974,-102.3501,20.22,75,69,8.62,US,1712636429
97,hotan,37.0997,79.9269,19.42,13,7,3.52,CN,1712636430
98,lata,40.1629,-8.3327,5.6,90,0,1.71,PT,1712636430
99,mizdah,31.4451,12.9801,13.5,51,39,2.98,LY,1712636430
100,esil,51.9556,66.4042,5.25,87,100,5.33,KZ,1712636430
101,stanley,54.868,-1.6985,8.73,97,75,4.12,GB,1712636220
102,karratha,-20.7377,116.8463,26.71,47,97,11.79,AU,1712636431
103,corner brook,48.9667,-57.9484,-1.91,87,100,2.73,CA,1712636373
104,frederiksvaerk,55.9707,12.0225,10.16,92,76,1.34,DK,1712636431
105,puerto natales,-51.7236,-72.4875,3.58,85,47,5.77,CL,1712636202
106,iskateley,67.6803,53.1512,-15.55,97,100,1.79,RU,1712636432
107,longyearbyen,78.2186,15.6401,-13.09,85,100,3.6,SJ,1712636363
108,utrik,11.2278,169.8474,26.69,80,90,10.08,MH,1712636432
109,tralee,52.2704,-9.7026,7.05,68,8,8.81,IE,1712636433
110,kuchinda,21.7333,84.35,32.38,27,64,3.5,IN,1712636433
111,fale old settlement,-9.3852,-171.2468,30.36,73,9,4.99,TK,1712636433
112,juarez,31.7333,-106.4833,19.45,14,75,6.17,MX,1712636434
113,ebon,4.582,168.6964,26.66,87,100,7.83,MH,1712636434
114,blackmans bay,-43.0167,147.3167,15.07,49,61,0.89,AU,1712636434
115,papatowai,-46.5619,169.4708,17.47,63,100,3.6,NZ,1712636434
116,saudarkrokur,65.7461,-19.6394,-2.96,90,95,2.39,IS,1712636434
117,bathsheba,13.2167,-59.5167,26.34,78,20,3.09,BB,1712636435
118,fort mcmurray,56.7268,-111.381,10.77,34,100,3.09,CA,1712636305
119,mogadishu,2.0371,45.3438,28.92,74,95,3.19,SO,1712636435
120,flin flon,54.7682,-101.865,5.71,62,5,2.2,CA,1712636435
121,cockburn town,21.4612,-71.1419,24.04,62,99,7.85,TC,1712636435
122,port saint john's,-31.6229,29.5448,19.93,85,49,2.35,ZA,1712636436
123,paita,-5.0892,-81.1144,22.67,77,67,4.85,PE,1712636436
124,batesville,35.7698,-91.641,21.23,83,75,3.6,US,1712636279
125,khemisset,33.6667,-6.25,13.3,91,61,2.25,MA,1712636436
126,koulamoutou,-1.1303,12.4736,21.94,97,98,0.53,GA,1712636437
127,bowen,-20.0167,148.2333,28.93,63,13,5.45,AU,1712636437
128,saldanha,-33.0117,17.9442,15.03,85,6,7.29,ZA,1712636437
129,christchurch,-43.5333,172.6333,24.11,39,85,5.66,NZ,1712636293
130,tazacorte,28.629,-17.9293,19.54,67,75,8.94,ES,1712636437
131,federal,-30.9547,-58.7833,18.4,88,73,1.81,AR,1712636438
